time,Covid_Vaccine,Election,Police_Reform
1,72.64351523,38.9344262,30.066666666
2,74.36797,38.35327,30.10752688172
3,74.505649,44.56902,31.97513
4,74.72375,43.964334,32.2
5,68.784153,43.910690,32.9292929
6,73.029645,42.225392,34.131326
