Timestep,Covid_Vaccine,Election,Police_Reform
1,72.64351523742026,38.9344262295082,30.06666666666667
2,74.3679775280899,38.35327234342012,30.107526881720432
3,74.50564971751412,44.56902592852137,31.97513812154696
4,74.72375690607734,43.964334705075444,32.2
5,68.78415300546447,43.9106901217862,32.92929292929293
6,73.0296456977585,42.22539229671897,34.1313269493844
